"id","username","email","employeeId","role"
"63c513c2881bd498332012e4","June Muncaster","jmuncaster26@youku.com","46-2342461","user"
"63c513c2881bd498332012e5","Audrie Stidever","astidever27@apache.org","21-4368019","user"
"63c513c2881bd498332012e6","Silva Kilfeather","skilfeather28@bing.com","77-9322163","user"
"63c513c2881bd498332012e7","Zara Firk","zfirk29@comsenz.com","51-3885114","user"
"63c513c2881bd498332012e9","Gussi Orniz","gorniz2b@tripod.com","48-5152938","manager"
"63c513c2881bd498332012ea","Cristie Wiggall","cwiggall2c@intel.com","84-4709084","manager"
"63c513c2881bd498332012eb","Percy Cockshutt","pcockshutt2d@ifeng.com","65-2082550","user"
"63c513c2881bd498332012ec","Kingsley Aspden","kaspden2e@weebly.com","05-7951708","user"
"63c513c2881bd498332012ed","Olin Kubicek","okubicek2f@rambler.ru","29-8945199","user"
"63c513c2881bd498332012ee","Isak Quernel","iquernel2g@digg.com","65-7338708","manager"
"63c513c2881bd498332012ef","Delila Illston","dillston2h@wikimedia.org","72-2580837","user"
"63c513c2881bd498332012f0","Anna Quinsee","aquinsee2i@xinhuanet.com","52-2753677","user"
"63c513c2881bd498332012f1","Giles Linnane","glinnane2j@narod.ru","40-8744694","user"
"63c513c2881bd498332012f2","Kip Sheringham","ksheringham2k@wiley.com","65-9386031","user"
"63c513c2881bd498332012f3","Myrwyn Unworth","munworth2l@cbc.ca","50-2271461","user"
"63c513c2881bd498332012f4","Elna Yushachkov","eyushachkov2m@microsoft.com","09-2667208","manager"
"63c513c2881bd498332012f5","Mariejeanne Billington","mbillington2n@canalblog.com","28-0717274","manager"
"63c513c2881bd498332012f6","Isaac Milillo","imilillo2o@yellowbook.com","30-0639555","user"
"63c513c2881bd498332012f7","Mayer Estabrook","mestabrook2p@creativecommons.org","51-3972636","user"
"63c513c2881bd498332012f8","Erik Brownlee","ebrownlee2q@istockphoto.com","85-7515178","manager"
"63c513c2881bd498332012f9","Nickolaus Calvard","ncalvard2r@archive.org","96-2497997","user"
"63c646502c2cb481053d9744","manager","manager@gmail.com","9090","manager"
